epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.06335,0.86187,2.70081,1.13923,0.82329,0.63111,0.76856,0.53135,1.17909,6.20694,1.14247,0.0338,0.000163636,0.000163636
2,17.688,0.87145,2.71602,1.13928,0.84259,0.81234,0.85607,0.58422,1.12572,3.31126,1.12992,0.0173,0.000330267,0.000330267
3,25.9912,0.86984,2.72781,1.13499,0.85245,0.73246,0.79619,0.56906,1.08744,3.91604,1.1286,0.000799784,0.000496754,0.000496754
4,34.1299,0.89707,2.86202,1.14657,0.85227,0.71642,0.79018,0.56425,1.08768,4.07014,1.11202,0.000499512,0.000499512,0.000499512
5,42.6136,0.90072,2.94005,1.15011,0.86707,0.78045,0.8186,0.57058,1.0567,3.95189,1.10501,0.000499132,0.000499132,0.000499132
6,51.1496,0.91994,2.97908,1.16262,0.85848,0.76515,0.8308,0.58279,1.05851,3.46825,1.11571,0.000498644,0.000498644,0.000498644
7,60.8755,0.91943,2.98128,1.15989,0.85098,0.7369,0.82685,0.57689,1.12123,3.95827,1.13189,0.000498048,0.000498048,0.000498048
8,69.6449,0.88821,2.84845,1.14285,0.80936,0.79986,0.84287,0.59201,1.09021,3.78685,1.11974,0.000497345,0.000497345,0.000497345
9,78.2054,0.88288,2.84065,1.13625,0.88138,0.74446,0.82175,0.56581,1.14864,3.96553,1.1491,0.000496534,0.000496534,0.000496534
10,86.689,0.87474,2.77168,1.13408,0.86884,0.75446,0.8237,0.59066,1.07055,3.43629,1.11621,0.000495616,0.000495616,0.000495616
11,95.1478,0.87991,2.7683,1.13734,0.83511,0.81185,0.83061,0.58362,1.10725,3.44026,1.13562,0.000494592,0.000494592,0.000494592
12,103.632,0.87312,2.74719,1.14051,0.8622,0.79903,0.83605,0.59693,1.11961,3.59658,1.12651,0.000493461,0.000493461,0.000493461
13,112.164,0.86309,2.73962,1.13228,0.89935,0.78485,0.85598,0.61122,1.0641,3.19589,1.10357,0.000492224,0.000492224,0.000492224
14,120.806,0.86449,2.73994,1.13464,0.76707,0.76527,0.84894,0.60792,1.03488,3.93647,1.09343,0.000490883,0.000490883,0.000490883
15,129.32,0.87182,2.74227,1.13886,0.87114,0.79148,0.83323,0.58844,1.11094,3.45009,1.14154,0.000489437,0.000489437,0.000489437
16,137.97,0.85796,2.70886,1.12932,0.86187,0.79591,0.83403,0.58729,1.11702,3.5535,1.13528,0.000487886,0.000487886,0.000487886
17,146.638,0.87024,2.7413,1.13916,0.86613,0.79265,0.84442,0.60903,1.04946,3.30827,1.10765,0.000486233,0.000486233,0.000486233
18,155.176,0.85645,2.65927,1.1276,0.88628,0.76317,0.82407,0.59058,1.04859,3.53002,1.09728,0.000484477,0.000484477,0.000484477
19,163.812,0.85418,2.65351,1.12941,0.86345,0.78373,0.83812,0.59089,1.11076,3.64734,1.15526,0.00048262,0.00048262,0.00048262
20,172.235,0.84764,2.61318,1.12679,0.84944,0.7635,0.81561,0.59082,1.09423,3.60885,1.1398,0.000480661,0.000480661,0.000480661
21,180.869,0.85302,2.67398,1.13801,0.86633,0.81887,0.84778,0.60685,1.0661,3.24949,1.12028,0.000478603,0.000478603,0.000478603
22,189.378,0.84984,2.64011,1.12666,0.87148,0.78272,0.83495,0.59703,1.06947,3.39881,1.1033,0.000476445,0.000476445,0.000476445
23,198.099,0.83605,2.61222,1.11877,0.88386,0.77354,0.84162,0.60552,1.07898,3.53796,1.12639,0.000474189,0.000474189,0.000474189
24,206.647,0.83194,2.527,1.11446,0.87349,0.76873,0.82662,0.57816,1.0905,3.62095,1.13511,0.000471835,0.000471835,0.000471835
25,215.189,0.85735,2.63462,1.12751,0.78915,0.76579,0.82687,0.58903,1.05953,3.92203,1.1259,0.000469386,0.000469386,0.000469386
26,223.794,0.82595,2.56925,1.12152,0.85443,0.80568,0.84151,0.59713,1.09256,3.26655,1.13278,0.000466841,0.000466841,0.000466841
27,232.298,0.84156,2.56883,1.11936,0.91169,0.7925,0.85062,0.60731,1.05026,3.27626,1.0977,0.000464203,0.000464203,0.000464203
28,240.71,0.82862,2.53555,1.11769,0.86513,0.78969,0.83136,0.59331,1.04496,3.45171,1.10892,0.000461471,0.000461471,0.000461471
29,252.978,0.835,2.52557,1.12079,0.8733,0.80145,0.84424,0.60526,1.0529,3.37684,1.1288,0.000458648,0.000458648,0.000458648
30,262.166,0.84008,2.54598,1.12837,0.86745,0.78242,0.82417,0.58443,1.07993,3.23207,1.1293,0.000455734,0.000455734,0.000455734
31,273.291,0.83145,2.59747,1.11769,0.85117,0.77471,0.83522,0.60685,1.02325,3.48875,1.1007,0.000452732,0.000452732,0.000452732
32,287.487,0.82614,2.48037,1.11277,0.88183,0.81973,0.84323,0.60993,1.04833,3.19409,1.10444,0.000449641,0.000449641,0.000449641
33,301.701,0.83104,2.54801,1.11696,0.86581,0.80534,0.84046,0.6061,1.04172,3.24038,1.11808,0.000446464,0.000446464,0.000446464
34,314.157,0.82402,2.49396,1.11155,0.88375,0.80744,0.84842,0.60496,1.05351,3.16548,1.11696,0.000443202,0.000443202,0.000443202
35,322.885,0.83354,2.50711,1.11255,0.86445,0.80536,0.83775,0.61404,1.04469,3.62839,1.10163,0.000439856,0.000439856,0.000439856
36,331.724,0.80997,2.41272,1.10721,0.87236,0.80457,0.8433,0.6069,1.08998,3.65553,1.13251,0.000436428,0.000436428,0.000436428
37,340.392,0.79555,2.402,1.09794,0.85754,0.80022,0.8353,0.59701,1.11335,3.49887,1.15786,0.00043292,0.00043292,0.00043292
38,349.3,0.82375,2.47772,1.11467,0.88798,0.77723,0.82564,0.59624,1.09434,3.6648,1.14021,0.000429332,0.000429332,0.000429332
39,357.947,0.80902,2.45503,1.10652,0.85744,0.78766,0.82431,0.60269,1.08913,3.53485,1.14185,0.000425667,0.000425667,0.000425667
40,366.671,0.80444,2.43296,1.10571,0.85541,0.82584,0.83446,0.59984,1.08591,3.43794,1.1302,0.000421925,0.000421925,0.000421925
41,375.33,0.80131,2.38492,1.09858,0.87583,0.80013,0.84636,0.60899,1.1111,3.65766,1.15349,0.00041811,0.00041811,0.00041811
42,384.083,0.80507,2.42034,1.10464,0.86313,0.80709,0.84173,0.60408,1.08086,3.49774,1.12674,0.000414222,0.000414222,0.000414222
43,392.929,0.79209,2.36802,1.09002,0.84317,0.8023,0.83562,0.60436,1.07016,3.40863,1.12704,0.000410262,0.000410262,0.000410262
44,403.597,0.78505,2.34815,1.0925,0.86056,0.80375,0.82697,0.6045,1.05426,3.4762,1.12514,0.000406234,0.000406234,0.000406234
45,415.142,0.79661,2.37514,1.099,0.84584,0.79963,0.82834,0.59831,1.0511,3.56137,1.12826,0.000402138,0.000402138,0.000402138
46,424.136,0.80048,2.37569,1.10267,0.88599,0.79293,0.83494,0.60819,1.04409,3.3075,1.10171,0.000397977,0.000397977,0.000397977
47,433.429,0.77771,2.2961,1.08786,0.88848,0.80737,0.85199,0.60109,1.1146,3.5167,1.14526,0.000393752,0.000393752,0.000393752
48,442.366,0.79398,2.33242,1.09177,0.87961,0.78795,0.83837,0.61266,1.05946,3.44743,1.12383,0.000389464,0.000389464,0.000389464
49,451.18,0.79376,2.32955,1.09548,0.88147,0.77141,0.83756,0.61145,1.08679,3.39405,1.14934,0.000385117,0.000385117,0.000385117
50,465.598,0.78249,2.32592,1.08957,0.86007,0.80867,0.82725,0.60183,1.04909,3.34623,1.12189,0.000380712,0.000380712,0.000380712
51,481.39,0.78831,2.32316,1.09091,0.88332,0.8012,0.83201,0.60883,1.02702,3.30059,1.11986,0.00037625,0.00037625,0.00037625
52,496.839,0.79203,2.35548,1.09421,0.8644,0.81793,0.8463,0.61218,1.04367,3.29286,1.11601,0.000371734,0.000371734,0.000371734
53,514.304,0.77905,2.31875,1.08974,0.88171,0.80179,0.8432,0.61581,1.03341,3.40607,1.11553,0.000367166,0.000367166,0.000367166
54,530.007,0.77957,2.29018,1.08703,0.87432,0.81674,0.84298,0.60812,1.06264,3.40869,1.13276,0.000362547,0.000362547,0.000362547
55,544.56,0.78175,2.29042,1.0856,0.89271,0.79801,0.85373,0.61316,1.0297,3.10943,1.10626,0.00035788,0.00035788,0.00035788
56,559.133,0.76776,2.25062,1.08112,0.89852,0.78215,0.83081,0.60731,1.02803,3.30217,1.11307,0.000353167,0.000353167,0.000353167
57,573.152,0.75796,2.22822,1.08145,0.88137,0.81077,0.83144,0.60609,1.05572,3.31118,1.13349,0.00034841,0.00034841,0.00034841
58,587.069,0.76605,2.24814,1.08248,0.91327,0.80574,0.85429,0.61578,1.04298,3.31831,1.11116,0.000343611,0.000343611,0.000343611
59,601.162,0.74977,2.17103,1.07495,0.8873,0.77989,0.82459,0.59329,1.08589,3.44262,1.13407,0.000338772,0.000338772,0.000338772
60,615.453,0.75825,2.23556,1.07853,0.88681,0.7986,0.83473,0.61048,1.03802,3.2685,1.13239,0.000333894,0.000333894,0.000333894
61,628.847,0.76184,2.23704,1.08217,0.90722,0.80344,0.84339,0.60653,1.03457,3.19033,1.11379,0.000328982,0.000328982,0.000328982
62,641.945,0.7695,2.25113,1.08674,0.86425,0.80285,0.8205,0.59766,1.02489,3.163,1.12142,0.000324035,0.000324035,0.000324035
63,655.489,0.7693,2.25074,1.08111,0.88013,0.79018,0.83854,0.61001,1.00621,3.35887,1.11387,0.000319058,0.000319058,0.000319058
64,670.166,0.76936,2.26331,1.08842,0.87708,0.81284,0.84472,0.60755,1.04891,3.29583,1.13437,0.000314051,0.000314051,0.000314051
