epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.3208,1.94633,1.83257,2.19126,0.65447,0.26319,0.30105,0.12867,2.35536,2.39881,2.66029,0.0672324,0.000330986,0.000330986
2,180.85,1.97864,1.96012,2.21604,0.77503,0.29478,0.3553,0.15519,2.06678,1.91746,2.34187,0.0342323,0.000664205,0.000664205
3,273.322,1.94805,2.00907,2.22687,0.65431,0.3201,0.36221,0.15472,2.08386,2.17627,2.3712,0.00123171,0.000996969,0.000996969
4,391.924,1.94663,1.97188,2.22622,0.71218,0.32805,0.35176,0.14588,2.06578,1.95735,2.36339,0.000998459,0.000998459,0.000998459
5,584.608,1.89489,1.89372,2.16896,0.81225,0.37091,0.42972,0.17975,2.02829,1.81546,2.33926,0.000997262,0.000997262,0.000997262
6,793.615,1.88184,1.84628,2.17628,0.70709,0.36476,0.41363,0.18541,1.98588,1.84259,2.27379,0.000995724,0.000995724,0.000995724
7,1127.26,1.8572,1.81476,2.14584,0.72748,0.35692,0.40228,0.17998,1.98104,1.737,2.28274,0.000993846,0.000993846,0.000993846
8,1219.53,1.85592,1.79247,2.14935,0.79368,0.35692,0.4232,0.17502,2.08677,1.68681,2.37381,0.00099163,0.00099163,0.00099163
9,1291.79,1.83744,1.79178,2.12554,0.5772,0.43879,0.44682,0.1854,2.04847,1.56238,2.33285,0.000989077,0.000989077,0.000989077
10,1362.36,1.81287,1.71734,2.10137,0.77507,0.38089,0.44832,0.19605,2.00278,1.54552,2.31374,0.000986189,0.000986189,0.000986189
11,1432.45,1.81522,1.69794,2.10599,0.81229,0.40646,0.46678,0.20741,2.00289,1.48544,2.30165,0.000982968,0.000982968,0.000982968
12,1502.59,1.823,1.67515,2.10559,0.82109,0.40866,0.45857,0.2015,1.95461,1.52102,2.22883,0.000979416,0.000979416,0.000979416
13,1571.85,1.77928,1.63917,2.07197,0.60984,0.39411,0.44976,0.19748,1.97941,1.50558,2.26317,0.000975536,0.000975536,0.000975536
14,1640.2,1.76519,1.63604,2.04576,0.74156,0.41098,0.46117,0.19721,1.97697,1.48234,2.27244,0.000971329,0.000971329,0.000971329
15,1709.02,1.76752,1.61558,2.05307,0.72243,0.38618,0.46066,0.18854,2.05437,1.52666,2.32073,0.0009668,0.0009668,0.0009668
16,1778.44,1.76524,1.63826,2.05619,0.84444,0.38365,0.50927,0.21053,1.9889,1.49429,2.28806,0.000961951,0.000961951,0.000961951
