epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6437,2.11954,2.22649,2.44286,0.59062,0.24516,0.27762,0.10484,2.24945,4.64166,2.76378,0.0675634,0.000661972,0.000661972
2,106.873,2.00412,1.76401,2.3172,0.44232,0.37226,0.37004,0.14181,2.23328,2.48464,2.60638,0.0348642,0.00129614,0.00129614
3,154.736,1.95223,1.65029,2.25338,0.61972,0.40901,0.40541,0.16874,2.02854,1.98509,2.43528,0.00203961,0.00180487,0.00180487
4,201.725,1.87694,1.5317,2.19153,0.73032,0.41826,0.45504,0.20321,1.98147,1.59725,2.31836,0.00158799,0.00158799,0.00158799
5,249.492,1.83465,1.41939,2.13512,0.80392,0.41735,0.47511,0.21114,1.9475,1.46224,2.21962,0.00130936,0.00130936,0.00130936
6,297.103,1.77372,1.31832,2.06148,0.6014,0.49885,0.50629,0.23471,1.88762,1.35446,2.14585,0.0010005,0.0010005,0.0010005
7,344.842,1.71613,1.2485,2.02326,0.87194,0.44264,0.52999,0.24837,1.85359,1.25313,2.11514,0.000691638,0.000691638,0.000691638
8,392.492,1.6669,1.1558,1.97849,0.80509,0.45538,0.54951,0.25809,1.80569,1.22209,2.07775,0.000413009,0.000413009,0.000413009
9,440.218,1.62019,1.09744,1.93284,0.81508,0.46545,0.5514,0.25979,1.84776,1.19515,2.08844,0.000191888,0.000191888,0.000191888
10,487.976,1.59375,1.05372,1.90987,0.55457,0.56046,0.57297,0.27127,1.80748,1.1616,2.06023,4.9919e-05,4.9919e-05,4.9919e-05
