epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.90871,1.25554,5.34191,1.40313,0.6494,0.7088,0.70872,0.41922,1.35137,5.63455,1.33126,0.08056,0.000196364,0.000196364
2,16.3362,1.05454,3.02804,1.23363,0.70813,0.72241,0.72194,0.44099,1.32151,5.3698,1.30353,0.0607596,0.000395976,0.000395976
3,23.8299,1.03691,2.90721,1.21709,0.80559,0.78159,0.82092,0.52787,1.20442,3.48971,1.18488,0.0409577,0.000594036,0.000594036
4,30.9188,0.99952,2.73448,1.19947,0.80321,0.736,0.75919,0.50273,1.13421,3.55571,1.18038,0.021153,0.000789381,0.000789381
5,38.1502,0.9895,2.73211,1.19931,0.78281,0.75969,0.81341,0.52429,1.23386,3.43026,1.18671,0.00134451,0.000980869,0.000980869
6,45.3872,0.98719,2.69059,1.19471,0.79827,0.76598,0.82812,0.52668,1.31,3.81633,1.25738,0.000975773,0.000975773,0.000975773
7,52.3651,0.97843,2.6337,1.19022,0.74742,0.78711,0.80678,0.53725,1.18036,3.30821,1.18203,0.000965239,0.000965239,0.000965239
8,59.4534,0.93636,2.54114,1.17215,0.77245,0.79654,0.8352,0.56137,1.16618,3.3258,1.19522,0.000952889,0.000952889,0.000952889
9,66.5009,0.93939,2.47961,1.17519,0.79128,0.7869,0.82705,0.55674,1.18511,3.09522,1.18214,0.000938772,0.000938772,0.000938772
10,73.4618,0.92931,2.39002,1.16196,0.84784,0.74263,0.81432,0.53895,1.15812,3.07052,1.1753,0.000922942,0.000922942,0.000922942
11,80.4337,0.91927,2.35914,1.15493,0.7966,0.76632,0.8038,0.53469,1.19128,3.37832,1.18996,0.000905463,0.000905463,0.000905463
12,87.7019,0.91469,2.32423,1.15317,0.82213,0.80847,0.84138,0.56106,1.22916,3.09853,1.18589,0.000886404,0.000886404,0.000886404
13,95.0328,0.91021,2.30007,1.1547,0.86247,0.777,0.82541,0.56643,1.19703,2.95277,1.16756,0.000865839,0.000865839,0.000865839
14,102.674,0.90517,2.29204,1.15834,0.82118,0.78951,0.83059,0.56777,1.18667,3.04215,1.18661,0.000843851,0.000843851,0.000843851
15,109.871,0.8764,2.19186,1.14067,0.86042,0.80386,0.84534,0.58638,1.12409,2.76935,1.14813,0.000820525,0.000820525,0.000820525
16,117.084,0.86886,2.15188,1.13908,0.85314,0.79053,0.82249,0.56749,1.13656,3.03658,1.15396,0.000795954,0.000795954,0.000795954
17,124.238,0.85532,2.13176,1.13517,0.84542,0.82234,0.83538,0.57305,1.21359,2.91662,1.1822,0.000770234,0.000770234,0.000770234
18,131.432,0.84456,2.07893,1.12002,0.85405,0.80299,0.84869,0.56776,1.24891,3.02947,1.21038,0.000743468,0.000743468,0.000743468
19,138.623,0.84226,2.04592,1.12834,0.86161,0.77102,0.83531,0.5957,1.15052,3.0649,1.13472,0.000715761,0.000715761,0.000715761
20,145.845,0.83559,2.04606,1.11838,0.84791,0.79478,0.8479,0.59811,1.15221,2.85981,1.14139,0.000687222,0.000687222,0.000687222
21,153.127,0.82752,2.05701,1.11681,0.86528,0.8095,0.85484,0.59369,1.14866,2.81407,1.13345,0.000657963,0.000657963,0.000657963
22,160.596,0.83527,2.01581,1.12131,0.8212,0.82102,0.84675,0.59404,1.17411,2.82681,1.16384,0.000628101,0.000628101,0.000628101
23,168.306,0.82738,2.00213,1.11956,0.86684,0.78473,0.84607,0.5964,1.12212,2.78579,1.13533,0.000597754,0.000597754,0.000597754
24,175.689,0.82084,1.97118,1.11411,0.8474,0.80736,0.8319,0.57351,1.10447,2.78196,1.12998,0.00056704,0.00056704,0.00056704
25,182.881,0.81369,1.92392,1.11443,0.84539,0.75868,0.82388,0.58223,1.129,2.88574,1.17286,0.000536081,0.000536081,0.000536081
26,190.226,0.80894,1.9158,1.10445,0.85272,0.77697,0.81974,0.5948,1.05633,2.78033,1.11124,0.000505,0.000505,0.000505
27,197.39,0.78941,1.8825,1.1022,0.84285,0.8202,0.83809,0.60904,1.11822,2.73931,1.14725,0.000473919,0.000473919,0.000473919
28,204.575,0.78206,1.87747,1.08929,0.85337,0.79505,0.83687,0.58968,1.11404,2.78069,1.14822,0.00044296,0.00044296,0.00044296
29,211.675,0.78077,1.82097,1.09227,0.84704,0.81478,0.84409,0.6027,1.1014,2.65841,1.15829,0.000412246,0.000412246,0.000412246
30,218.78,0.78225,1.81871,1.09709,0.86784,0.78872,0.8438,0.60868,1.11117,2.74349,1.13949,0.000381899,0.000381899,0.000381899
31,225.704,0.76865,1.78949,1.08711,0.84228,0.79159,0.83166,0.60793,1.07971,2.61304,1.1367,0.000352037,0.000352037,0.000352037
32,232.723,0.76784,1.7694,1.08652,0.85156,0.81677,0.84837,0.60901,1.08922,2.61377,1.15238,0.000322778,0.000322778,0.000322778
33,239.734,0.77461,1.78637,1.09142,0.87354,0.81014,0.85112,0.60768,1.09058,2.619,1.13784,0.000294239,0.000294239,0.000294239
34,246.68,0.75266,1.74824,1.08128,0.8893,0.79531,0.84445,0.61047,1.08972,2.64757,1.14043,0.000266532,0.000266532,0.000266532
35,253.657,0.75262,1.73633,1.08271,0.85341,0.80288,0.83754,0.60378,1.08452,2.63251,1.15118,0.000239766,0.000239766,0.000239766
36,260.488,0.74775,1.70459,1.07593,0.85567,0.8032,0.8443,0.60984,1.08433,2.58896,1.15012,0.000214046,0.000214046,0.000214046
37,267.415,0.73562,1.6761,1.07169,0.86115,0.81229,0.84234,0.60999,1.06857,2.65074,1.14198,0.000189475,0.000189475,0.000189475
38,274.261,0.72302,1.65756,1.07121,0.87334,0.80458,0.8461,0.61407,1.06522,2.59164,1.13092,0.000166149,0.000166149,0.000166149
39,281.122,0.71925,1.6424,1.06947,0.84773,0.80838,0.84041,0.61037,1.06469,2.48806,1.13576,0.000144161,0.000144161,0.000144161
40,287.998,0.73047,1.62997,1.0715,0.86095,0.81526,0.84816,0.61639,1.05214,2.55596,1.12508,0.000123596,0.000123596,0.000123596
41,294.893,0.69189,1.35096,1.05685,0.85861,0.80671,0.84326,0.61284,1.04148,2.5254,1.13698,0.000104537,0.000104537,0.000104537
42,301.749,0.68784,1.32503,1.05013,0.87,0.8063,0.84998,0.61528,1.06673,2.51525,1.15341,8.70577e-05,8.70577e-05,8.70577e-05
43,308.392,0.67403,1.29421,1.04223,0.8496,0.81697,0.84564,0.61518,1.05862,2.54293,1.1469,7.12282e-05,7.12282e-05,7.12282e-05
44,315.097,0.67729,1.28768,1.04644,0.85003,0.81847,0.84296,0.61262,1.05577,2.53681,1.14175,5.71106e-05,5.71106e-05,5.71106e-05
45,321.696,0.66721,1.27132,1.04795,0.85553,0.81553,0.8468,0.61344,1.04855,2.52821,1.13699,4.47606e-05,4.47606e-05,4.47606e-05
46,328.406,0.6654,1.26266,1.03993,0.85925,0.82165,0.84754,0.61383,1.04927,2.51721,1.13875,3.4227e-05,3.4227e-05,3.4227e-05
47,335.187,0.65801,1.24851,1.04041,0.85681,0.82052,0.85007,0.61777,1.04637,2.51042,1.13933,2.55513e-05,2.55513e-05,2.55513e-05
48,341.91,0.65794,1.25194,1.03953,0.85259,0.82169,0.84921,0.61558,1.04956,2.52744,1.13573,1.87678e-05,1.87678e-05,1.87678e-05
49,348.6,0.65636,1.24196,1.03148,0.85648,0.82157,0.84835,0.61369,1.04748,2.53409,1.13617,1.39032e-05,1.39032e-05,1.39032e-05
50,355.283,0.66523,1.23909,1.03892,0.85901,0.81824,0.84992,0.61414,1.04945,2.54575,1.13683,1.09768e-05,1.09768e-05,1.09768e-05
